age, pop
0 to 4 years, 1,881,099
5 to 9 years, 2,062,572
10 to 14 years, 2126905
15 to 19 years, 2124972
20 to 24 years, 2520278
25 to 29 years, 2703647
30 to 34 years, 2782998
35 to 39 years, 2718849
40 to 44 years, 2573624
45 to 49 years, 2405593
50 to 54 years, 2423627
55 to 59 years, 2635125
60 to 64 years, 2640008
65 to 69 years, 2308096
70 to 74 years, 1879942
75 to 79 years, 1381797
80 to 84 years, 878761
85 to 89 years, 530078
90 to 94 years, 260752
95 to 99 years, 77694
100 to 200 years, 13485

